Residence,Dwelling Form,No. of places,"Basic Rent incl.
Overheads","Waiting Time
approx."
Agnes-/ Adelheidstraße: Adelheidstraße 13,Single room in group of 3/6,206,287.10 €,4 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Single room in group of 9 to 11,34,310.00 €,4 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Single room in group of 2,13,324.70 €,4 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Shared apartment,108,323.20 €,4 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Studio apartment,52,356.30 €,4 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Apartment for disabled person,3,441.80 €,3 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Single parent-apartment,10,483.80 €,3 semesters
Agnes-/ Adelheidstraße: Adelheidstraße 13,Family flat,2,604.40 €,3 semesters
Biedersteiner Straße 22-32,Single room in shared apartment,135,275.90 €,3 semesters
Biedersteiner Straße 22-32,Studio apartment,33,291.80 €,4 semesters
Chiemgaustraße: Traunsteiner Straße 1-13,Single room in group of 4/5/6,248,248.10 €,3 semesters
Dachauer Straße 25,Studio apartment,95,293.60 €,5 semesters
Felsennelkenanger 7-21,Single room in shared apartment/ 2,310,305.20 €,3 semesters
Felsennelkenanger 7-21,Single room for disabled person,10,328.40 €,3 semesters
Felsennelkenanger 7-21,Shared apartment,216,316.50 €,3 semesters
Felsennelkenanger 7-21,Family flat,4,602.40 €,4 semesters
Garching I Jochbergweg 1-7 U6 Garching,Single room in shared apartment,106,278.80 €,3 semesters
Garching I Jochbergweg 1-7 U6 Garching,Single room for disabled person,4,285.40 €,1 semesters
"Garching II Enzianstraße 1+3, U6 Garching",Single room in group of  2,16,257.40 €,4 semesters
"Garching II Enzianstraße 1+3, U6 Garching",Shared apartment,64,262.00 €,4 semesters
"Garching II Enzianstraße 1+3, U6 Garching",Studio apartment,32,280.10 €,4 semesters
"Heidemannstraße:Paul-Hindemith-Allee 4+6

",Studio apartment,227,292.80 €,3 semesters
Heidemannstraße:Paul-Hindemith-Allee 4+6,Single room in group of 2,44,269.70 €,3 semesters
Heidemannstraße:Paul-Hindemith-Allee 4+6,Family flat,19,475.40 €,4 semesters
Heidemannstraße:Paul-Hindemith-Allee 4+6,Apartment for disabled person,3,323.70 €,1 semesters
Heiglhofstraße 64/66,Single room in group of 2/3/6,315,300.40 €,3 semesters
Heiglhofstraße 64/66,Shared apartment,96,324.50 €,4 semesters
